"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"860Z200US75658","ZCTA5 75658","-","**",
"860Z200US75659","ZCTA5 75659","-","**",
"860Z200US75661","ZCTA5 75661","56600","14383",
"860Z200US75662","ZCTA5 75662","64717","9589",
"860Z200US75667","ZCTA5 75667","68309","21191",
"860Z200US75668","ZCTA5 75668","48214","13212",
"860Z200US75669","ZCTA5 75669","81155","17966",
"860Z200US75670","ZCTA5 75670","37106","8302",
"860Z200US75671","ZCTA5 75671","-","**",
"860Z200US75672","ZCTA5 75672","68853","7901",
"860Z200US75680","ZCTA5 75680","-","**",
"860Z200US75681","ZCTA5 75681","58125","21060",
"860Z200US75682","ZCTA5 75682","53125","29228",
"860Z200US75683","ZCTA5 75683","43531","12164",
"860Z200US75684","ZCTA5 75684","51629","9492",
"860Z200US75686","ZCTA5 75686","55327","4326",
"860Z200US75687","ZCTA5 75687","-","**",
"860Z200US75689","ZCTA5 75689","95724","72556",
"860Z200US75691","ZCTA5 75691","81667","16635",
"860Z200US75692","ZCTA5 75692","60705","12424",
"860Z200US75693","ZCTA5 75693","92938","19883",
"860Z200US75694","ZCTA5 75694","-","**",
"860Z200US75701","ZCTA5 75701","59107","6351",
"860Z200US75702","ZCTA5 75702","48485","4203",
"860Z200US75703","ZCTA5 75703","77858","7971",
"860Z200US75704","ZCTA5 75704","55967","12168",
"860Z200US75705","ZCTA5 75705","70850","54796",
"860Z200US75706","ZCTA5 75706","63477","11217",
"860Z200US75707","ZCTA5 75707","79764","9103",
"860Z200US75708","ZCTA5 75708","79864","8431",
"860Z200US75709","ZCTA5 75709","71013","4670",
"860Z200US75711","ZCTA5 75711","-","**",
"860Z200US75750","ZCTA5 75750","70109","12808",
"860Z200US75751","ZCTA5 75751","59399","11730",
"860Z200US75752","ZCTA5 75752","62135","7794",
"860Z200US75754","ZCTA5 75754","87846","26602",
"860Z200US75755","ZCTA5 75755","52913","7213",
"860Z200US75756","ZCTA5 75756","79688","17485",
"860Z200US75757","ZCTA5 75757","79070","10414",
"860Z200US75758","ZCTA5 75758","59727","7443",
"860Z200US75759","ZCTA5 75759","25156","8840",
"860Z200US75760","ZCTA5 75760","67294","14265",
"860Z200US75762","ZCTA5 75762","78520","10232",
"860Z200US75763","ZCTA5 75763","65022","7223",
"860Z200US75764","ZCTA5 75764","73021","16784",
"860Z200US75765","ZCTA5 75765","56477","9325",
"860Z200US75766","ZCTA5 75766","50279","8302",
"860Z200US75770","ZCTA5 75770","98178","12354",
"860Z200US75771","ZCTA5 75771","83516","13024",
"860Z200US75773","ZCTA5 75773","57854","9164",
"860Z200US75778","ZCTA5 75778","43812","6058",
"860Z200US75779","ZCTA5 75779","-","**",
"860Z200US75780","ZCTA5 75780","64375","52665",
"860Z200US75782","ZCTA5 75782","-","**",
"860Z200US75783","ZCTA5 75783","62410","12376",
"860Z200US75784","ZCTA5 75784","58750","24514",
"860Z200US75785","ZCTA5 75785","61815","11021",
"860Z200US75788","ZCTA5 75788","-","**",
"860Z200US75789","ZCTA5 75789","79112","15867",
"860Z200US75790","ZCTA5 75790","61218","14017",
"860Z200US75791","ZCTA5 75791","72203","12993",
"860Z200US75792","ZCTA5 75792","52153","12288",
"860Z200US75801","ZCTA5 75801","46706","10135",
